"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.613162481E-2,3.695904541E1,-4.383609009E1,2.257864380E1,6.162279601E1
2.610462485E-2,3.694946289E1,-4.411581421E1,2.222830200E1,6.168926390E1
3.607662488E-2,3.706961060E1,-4.422155762E1,2.192793274E1,6.172954254E1
4.604862491E-2,3.733148193E1,-4.448699951E1,2.114157867E1,6.180371362E1
5.602062494E-2,3.745355225E1,-4.467465210E1,2.026888275E1,6.172050489E1
6.599262496E-2,3.746287537E1,-4.490112305E1,1.941374207E1,6.161551154E1
7.596462499E-2,3.765214539E1,-4.508041382E1,1.886309814E1,6.169071432E1
8.593662479E-2,3.775254822E1,-4.527038574E1,1.807009888E1,6.165380114E1
9.590862482E-2,3.783674622E1,-4.545837402E1,1.762908936E1,6.171602648E1
1.058806248E-1,3.788346863E1,-4.552780151E1,1.699775696E1,6.161867937E1
1.158526249E-1,3.793760681E1,-4.566894531E1,1.654148865E1,6.163225960E1
1.258256249E-1,3.793449402E1,-4.579959106E1,1.600845337E1,6.158651604E1
1.357976249E-1,3.790260315E1,-4.597122192E1,1.563322449E1,6.159836263E1
1.457696250E-1,3.790260315E1,-4.597122192E1,1.563322449E1,6.159836263E1
1.557416250E-1,3.793168640E1,-4.613381958E1,1.506472778E1,6.159617006E1
1.657136248E-1,3.793659973E1,-4.614324951E1,1.505897522E1,6.160485216E1
1.756856248E-1,3.787712097E1,-4.619390869E1,1.486428833E1,6.155891943E1
1.856576249E-1,3.784831238E1,-4.624880981E1,1.484040833E1,6.157665855E1
1.956296249E-1,3.804359436E1,-4.626644897E1,1.440861511E1,6.160769077E1
2.056016249E-1,3.799064636E1,-4.634933472E1,1.409857178E1,6.156557289E1
2.155736249E-1,3.795188904E1,-4.626275635E1,1.382424927E1,6.141415451E1
2.255456250E-1,3.805433655E1,-4.623779297E1,1.370339966E1,6.143166277E1
2.355186250E-1,3.809263611E1,-4.635910034E1,1.354104614E1,6.151077175E1
2.454906248E-1,3.809645081E1,-4.644866943E1,1.345753479E1,6.156235618E1
2.554626248E-1,3.802003479E1,-4.656243896E1,1.334178162E1,6.157586300E1
2.654346249E-1,3.800981140E1,-4.664157104E1,1.307835388E1,6.157292630E1
2.754066249E-1,3.793190002E1,-4.680734253E1,1.299221802E1,6.163241098E1
2.853786249E-1,3.781373596E1,-4.681918335E1,1.261553955E1,6.149037644E1
2.953506249E-1,3.781416321E1,-4.677917480E1,1.251197815E1,6.143900823E1
3.053226250E-1,3.779646301E1,-4.694461060E1,1.229920959E1,6.151129682E1
3.152946250E-1,3.778392029E1,-4.701330566E1,1.203579712E1,6.150395072E1
3.252666248E-1,3.779850769E1,-4.710162354E1,1.175007629E1,6.152523398E1
3.352396248E-1,3.779502869E1,-4.722463989E1,1.146119690E1,6.156289338E1
3.452116249E-1,3.751850891E1,-4.739758301E1,1.100149536E1,6.144267480E1
3.551836249E-1,3.755625916E1,-4.742904663E1,1.071377563E1,6.143917361E1
3.651556249E-1,3.753038025E1,-4.753817749E1,1.040519714E1,6.145466531E1
3.751276250E-1,3.753605652E1,-4.756420898E1,9.957275391E0,6.140404586E1
3.850996250E-1,3.742250061E1,-4.775701904E1,9.487518311E0,6.141001078E1
